Name,Type,Years of Expereience,About,Education,Services,Diseases,Hospital Name,Doctor Schedule,Minimum Fees,Languages
Dr. Abdul Haq Baloch,General Physician,20 years of experience,"Dr. Abdul Haq Baloch is one of the best General Physician in Karachi with a high patient satisfaction rate. He has the following qualifications: MBBS, FCPSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Abdul Haq Baloch aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Karachi.To book an appointment with Dr. Abdul Haq Baloch, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS- Bolan Medical College, 1982
FCPS - College of Physicians & Surgeons Pakistan, 1992","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Apwa Medical Complex Hospital,"Mon, Tue, Wed, Thu, Fri : 04:00 PM to 08:00 PM",Rs. 1500,"English, Urdu."
Dr. Zeeshan Mirza,General Physician,9 years of experience,"Dr. Zeeshan Mirza is one of the best General Physician in Karachi with a high patient satisfaction rate. He has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Zeeshan Mirza aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Karachi.To book an appointment with Dr. Zeeshan Mirza, call (042 32500989/021 37120261) or click on Book an Appointment.",,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG","Nausea
Food Poisoning
Typhoid Fever
Seafood Allergy
Tuberculosis (TB)
Abdominal Pain
Constipation
Pneumonia in Children
Headache
Hiccups
Bloating
Obesity (Overweight)
Diarrhoea
Chikungunya
Pollen Allergy
Lactose Intolerance
Jaundice
Khasra (Measles)
Osteoporosis
Restless Legs Syndrome (RLS)
Pilonidal Cyst
Whooping Cough (Pertussis)
Chicken Pox
Fever
Appendicitis
Backache
Anemia
Bruise
Acidity
Sore Throat
Common Cold
Bawaseer (Piles)
Hepatitis A
Plague
Intestinal Obstruction
Ulcer
Scarlet Fever (Scarlatina)
Malaria
Sunstroke
Mumps
Bursitis (Bursa)
Hernia
Electrolyte Imbalance
Small Pox
Fissures
Gas (Flatulence)
Respiratory Disorders
Enteric Fever
Pleurisy
Tension Headaches
Albinism
High Cholesterol Diseases 
Menstruation Problems
Influenza",Metropolis Health,"Mon, Tue, Wed, Thu, Fri, Sat : 06:00 PM to 09:15 PM",Rs. 1500,
Dr. Muhammad Yaseen Usman,General Physician • Diabetologist,38 years of experience,"Dr. Muhammad Yaseen Usman is one of the best diabetologists in Karachi with a high patient satisfaction rate. He has the following qualifications: MBBS,MCPS,MRCGPHe has expertise in the diagnosis, and treatment of all forms of diabetes, such as gestational diabetes, diabetes insipidus, type 1 diabetes, diabetes mellitus, etc.He continued serving in different diabetology departments for years treating all kinds of diabetes. Dr. Muhammad Yaseen Usman works on different treatment plans to control diabetes through multiple approaches, including nutrition and weight management.While working in diabetology, he focuses on the treatment and management of diabetes forms using medicine orally or through insulin injections.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of diabetology.He provides personalised treatment plans for patients of all age groups. His expertise in advanced diabetology makes him one of the top certified diabetologists in Karachi.To book an appointment with Dr. Muhammad Yaseen Usman, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
MCPS
MRCGP","Diabetic Pump Therapy
 Disorders Of Male/Female Gland Hormones Treatment
 Lipid Abnormalities
 Parathyroid Gland Disorders
 Pituitary Gland Disorders
 Thyroid Ultrasound
 Diabetes Treatment
 Management Of Hyperglycemia/Hypoglycemia
 Diet Plan For Diabetes
 Techniques For Using Insulin
 Dialysis
 Diabetes Foot Care
 Paediatric Diabetes Treatment
 Metabolic Disorder Treatment","Hypoglycemia
Addison's Disease
Diabetes Inspidus
Diabetes Type 2
Gestational Diabetes
Diabetes Type 1",Karachi Medical Complex (Gulshan-e-Iqbal),"Mon, Tue, Wed, Thu, Fri, Sat : 06:00 PM to 09:00 PM",Rs. 700,"English, Urdu."
Dr. Zameer Hussain,General Physician • Pediatrician,22 years of experience,"Dr. Zameer Hussain is one of the best pediatricians in Karachi with a high patient satisfaction rate. He has the following qualifications: MBBS, MCPSHe has expertise in the diagnosis, treatment, and management of children with in-depth knowledge about behavior and growth development.He continued serving in different pediatric departments for years treating all kinds of health conditions. Dr. Zameer Hussain aims to provide awareness and treatment for the conditions that affect babies, children, or young people.While working in pediatrics, he focuses on the treatment and management of various health conditions in children using both medical and surgical approaches.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of pediatrics.He provides personalized treatment plans for patients of specific age groups. His expertise in advanced pediatrics makes him one of the top certified pediatricians in Karachi.To book an appointment with Dr. Zameer Hussain, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
MCPS","Newborn Examination
 Fever Treatment
 Allergies And Asthma Care
 Behaviour Problems Management
 Child Dietary Consultation
 Circumcision
 Child Emergency Care
 Adolescent Medicine
 Biliary Stone Treatment
 Diabetic Child Management
 Antenatal Counselling
 Growth Delay Treatment
 Birth Defects Treatment
 Immunization
 Complete Vaccination
 Nutrition Assessment","Rickets
Tuberous Sclerosis
Undescended Testicles/Cryptorchidism
Albinism
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Liver Cirrhosis
Abdomen Diseases in Children
Cerebral Palsy
Down Syndrome
Dwarfism
Hypothyrodism
Meningitis
Respiratory Tract Infections (RTI)
Scarlet Fever (Scarlatina)
Teething Issue
Tonsilitis (Tonsils)
Cholestasis",Karachi Medical Complex (Gulshan-e-Iqbal),"Mon, Wed, Fri : 05:00 PM to 09:00 PM",Rs. 1500,is fluent
Dr. Anita Haroon,Internal Medicine Specialist • General Physician • Diabetologist • Critical Care Physician • Asthma Specialist • Nephrologist,13 years of experience,"Dr. Anita Haroon is one of the best nephrologists in Karachi with a high patient satisfaction rate. She has the following qualifications: MBBS, MRCP, FCPSShe has expertise in the diagnosis, and treatment of any kidney-related conditions including kidney infections, kidney stones, chronic kidney disease, etc.She continued serving in different nephrology departments for years treating all kinds of kidney-related conditions such as fluid retention, high blood pressure, and mineral and fluid retention in the body.While working in nephrology she focuses on the treatment and management of various kidney conditions using both medicinal and surgical approaches.Her exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of nephrology.Dr. Anita Haroon provides personalised treatment plans for patients suffering from various kidney ailments. Her expertise in advanced nephrology makes her one of the top certified nephrologists in Karachi.To book an appointment with Dr. Anita Haroon, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS - Jinnah Medical & Dental College, 2000
MRCP - Royal College of Physicians, 2016
FCPS (Nephrology) - College of Physicians and Surgeons Pakistan, 2018","Chronic Kidney Disease Treatment
 Interventional Nephrology
 Lithotripsy
 Kidney Stones Treatment
 Kidney Transplants
 Kidney Biopsies
 Dialysis
 Peritoneal Dialysis
 Diabetes Management
 Renal Replacement Therapy
 Temporary Double Lumen Catheter
 Permanent Double Lumen Catheter
 End-Stage Kidney Disease Treatment","Electrolyte Imbalance
Acute Kidney Injury
Hemolytic Uremic Syndrome
Nephrotic Syndrome
Polycystic Kidney Disease
Kidney Stones
Hyponatremia
Orthostatic Hypotension
Pyelonephritis
Nephrocalcinosis
Obstructive Uropathy
Hypoglycemia
Addison's Disease
Diabetes Inspidus
Diabetes Type 2
Gestational Diabetes","Saifee Hospital
Imam Clinic
OMI Hospital
Baqai Institute Of Diabetology And Endocrinology Hospital","Tue, Wed, Fri : 04:00 PM to 05:30 PM


Mon, Wed : 07:30 PM to 09:00 PM


Tue, Sat : 07:30 PM to 08:30 PM


Sat : 03:00 PM to 04:00 PM",Rs. 1500,"English, Urdu."
Dr. Ajmal Osman,General Physician • Medical Specialist,7 years of experience,"Dr. Ajmal Osman is one of the best Medical Specialist in Islamabad with a high patient satisfaction rate. He has the following qualifications: MBBS, FCPSHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Ajmal Osman aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified Medical Specialist in Islamabad.To book an appointment with Dr. Ajmal Osman, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 Vaccination","Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever","MaxHealth Hospital
Fatima's Clinic","Sun : 02:00 PM to 05:00 PM


Mon, Tue, Wed, Thu, Fri, Sat : 04:00 PM to 09:00 PM


Mon, Tue, Wed, Thu, Fri, Sat : 07:00 PM to 09:00 PM",Rs. 1500,"English, Urdu."
Dr. Farayha Ahmad,General Physician • Pediatrician,Less than 1 years of experience,"Dr. Farayha Ahmad is one of the best pediatricians in Faisalabad with a high patient satisfaction rate. She has the following qualifications: MBBS, RMP, PMDC (Reg)She has expertise in the diagnosis, treatment, and management of children with in-depth knowledge about behavior and growth development.She continued serving in different pediatric departments for years treating all kinds of health conditions. Dr. Farayha Ahmad aims to provide awareness and treatment for the conditions that affect babies, children, or young people.While working in pediatrics, she focuses on the treatment and management of various health conditions in children using both medical and surgical approaches.Her exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of pediatrics.She provides personalized treatment plans for patients of specific age groups. Her expertise in advanced pediatrics makes her one of the top certified pediatricians in Faisalabad.To book an appointment with Dr. Farayha Ahmad, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS - Punjab Medical College Faisalabad,"Newborn Examination
 Fever Treatment
 Allergies And Asthma Care
 Behaviour Problems Management
 Child Dietary Consultation
 Circumcision
 Child Emergency Care
 Adolescent Medicine
 Biliary Stone Treatment
 Diabetic Child Management
 Antenatal Counselling
 Growth Delay Treatment
 Birth Defects Treatment
 Immunization
 Complete Vaccination
 Nutrition Assessment","Rickets
Tuberous Sclerosis
Undescended Testicles/Cryptorchidism
Albinism
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Liver Cirrhosis
Abdomen Diseases in Children
Cerebral Palsy
Down Syndrome
Dwarfism
Hypothyrodism
Meningitis
Respiratory Tract Infections (RTI)
Scarlet Fever (Scarlatina)
Teething Issue
Tonsilitis (Tonsils)
Cholestasis
Allergies in children
Polio",Ambulatory Care Center,"Mon, Tue, Wed, Thu, Fri, Sat : 04:00 PM to 07:00 PM",,"English, Urdu."
Dr. Zulfiqar Ali Kango,Internal Medicine Specialist • Diabetologist • Endocrinologist • General Physician • Cardiologist,Less than 1 years of experience,"Dr. Zulfiqar Ali Kango is one of the best cardiologists in Islamabad with a high patient satisfaction rate. He has the following qualifications: MBBS, FCPS, MCPS, DIP-CARDHe has expertise in the diagnosis, and treatment of cardiovascular diseases including high blood pressure, heart failure, heart valve disease, heart arrhythmias, etc.He continued serving in different cardiology departments for years treating all kinds of heart-related conditions.While working in cardiology Dr. Zulfiqar Ali Kango focuses on the treatment and management of various heart conditions using both medicinal and surgical approaches.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of cardiology.He provides personalised treatment plans for patients of all age groups. His expertise in advanced cardiology makes him one of the top certified cardiologists in Islamabad.To book an appointment with Dr. Zulfiqar Ali Kango, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
FCPS
MCPS
DIP-CARD(UK)","Angiography
 Angioplasty
 Coronary Angiography
 Echocardiography
 Heart Failure Management
 High Bp Management
 Rotablation
 Cardiac Catheterization
 Cardiac Ct Scan
 Coronary Angioplasty
 Ett
 Stress Echocardiography
 Body Composition Testing
 Balloon Valvotomy
 Cardiology General Medicine
 Cardiomyopathy
 Crt
 Electrophysiology
 Ecg
 Cardiac Mri
 Holler Monitoring
 Interventional Cardiology
 Pacemaker Implantation
 Stress Electrocardiography
 Trans-Thoracic Echocardiography
 3d-Echocardiography","Cardiovascular Diseases
Congenital Heart Defect
Atrial Septal Defect
Bradycardia
Supraventricular Tachycardia (SVT)
Cardiomyopathy
Aortic Stenosis
Mitral Regurgitation
Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Islamabad Specialist Clinic (G-8 Markaz),"Mon, Tue, Wed, Thu, Fri : 10:00 PM to 02:00 AM",,"English, Urdu."
Dr. Atif Ali Shah,General Physician • Medical Specialist,16 years of experience,"Dr. Atif Ali Shah is one of the best Medical Specialist in Karachi with a high patient satisfaction rate. He has the following qualifications: MBBS,MRCGPHe has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Atif Ali Shah aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified Medical Specialist in Karachi.To book an appointment with Dr. Atif Ali Shah, call (042 32500989/021 37120261) or click on Book an Appointment.","MBBS
MRCGP","Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 Vaccination","Backache
Abdominal Pain
Chicken Pox
Common Cold
Diarrhoea
Fever
Bloating
Fissures
Gas (Flatulence)
Jaundice
Typhoid Fever
Bursitis (Bursa)
Canker Sore
Chikungunya
Cholera
Food Poisoning
Hiccups
Khasra (Measles)
Malaria
Plague
Pleurisy
Vitamin D Deficiency
Whooping Cough (Pertussis)
Bawaseer (Piles)
Hernia
Intestinal Obstruction
Pilonidal Cyst
Appendicitis
Heartburn
Sore Throat
Pollen Allergy
Influenza
Rabies
Albinism
Menstruation Problems
Electrolyte Imbalance
Headache
Sunstroke
Osteoporosis
Mumps
Pneumonia in Children
Hepatitis A
Hepatitis B
Hepatitis C
Enteric Fever",Hilal-e-Ahmar Medical Hospital,"Wed, Thu, Fri, Sat : 09:00 AM to 08:00 PM",Rs. 2000,"English, Urdu."
Dr. Sajjad Rizvi,General Physician,12 years of experience,"Dr. Sajjad Rizvi is one of the best General Physician in Lahore with a high patient satisfaction rate. He has expertise in general medicine and non-surgical health care treatments and services.He continued serving in different general medicine departments for years treating all kinds of health conditions. Dr. Sajjad Rizvi aims to provide the best healthcare services to people of all age groups.While working in general medicine he focuses on the treatment and management of various health-related conditions using non-surgical approaches and refers patients to other specialists.His exposure throughout the years of professional practice resulted in the enrichment of treatment skills across the vast field of general medicine.He provides personalised treatment plans for patients of all age groups. His expertise in advanced general medicine makes him one of the top certified General Physician in Lahore.To book an appointment with Dr. Sajjad Rizvi, call (042 32500989/021 37120261) or click on Book an Appointment.",MBBS,"Corona-Virus Treatment
 Fever Treatment
 Gastroscopy
 Injection Sclerotherapy
 Obesity Management
 Multidisciplinary Care
 Gastrointestinal System
 Chest Pain Management
 Diabetic Treatment
 Gestational Treatment
 General Health Checkups
 Health & Nutrition Advice
 Ordering And Screening Of Medical Tests
 GSFGDSFG
 Gynaecologist","Tension Headaches
Albinism
Chicken Pox
High Cholesterol Diseases 
Fever
Appendicitis
Backache
Anemia
Bruise
Acidity
Menstruation Problems
Sore Throat
Influenza
Common Cold
Hepatitis A
Food Poisoning
Typhoid Fever
Plague
Seafood Allergy
Tuberculosis (TB)
Intestinal Obstruction
Abdominal Pain
Bawaseer (Piles)
Ulcer
Constipation
Scarlet Fever (Scarlatina)
Pneumonia in Children
Headache
Malaria
Sunstroke
Mumps
Hiccups
Bloating
Obesity (Overweight)
Diarrhoea
Chikungunya
Bursitis (Bursa)
Hernia
Electrolyte Imbalance
Pollen Allergy
Lactose Intolerance
Small Pox
Fissures
Gas (Flatulence)
Jaundice
Khasra (Measles)
Respiratory Disorders
Osteoporosis
Enteric Fever
Restless Legs Syndrome (RLS)
Blisters
Pilonidal Cyst
Whooping Cough (Pertussis)
Pleurisy
Nausea",Alara Healthcare Support Center,"Mon, Tue, Wed, Thu, Fri, Sat : 08:00 PM to 11:00 PM",Rs. 1000,
