Doctor Name,Years of Experience,PMC Verified,Type,About,Services,Education and Certification,Experience,Clinic Name,Clinic Address,Clinic Fees,Clinic Schedule,Consultation,Consultation Fees,Consultation Schedule,Page Url
Assist. Prof. Dr. Hafiz Sultan Muhammad,13 Year,Yes,Psychiatrist,"Assist. Prof. Dr. Hafiz Sultan Muhammad  is a Psychiatrist . He is having over 11 years of experience in the field of  Psychiatry  and practices at  Al Safiya Medical and Diagnostic Centre .  His field of interest includes Abnormal/Unusual/Strange Behavior, Adolescent Problems, Alcohol Addiction Treatment, Cognitive Behavioral Therapy, Crisis Management, Drug Abuse, Emotional Outbursts, General Psychiatry, Obsessive Compulsive Disorder,  Suicidal Tendency","Anxiety


Agitation


Drug Abuse


Mental Health


ADHD Treatment


Alcohol Addiction


Crisis Management


Suicidal Tendency


Career Counselling
 

General Psychiatry


Adolescent Problems


Emotional Outbursts


Aggressive Behavior


Cognitive Behavioral Therapy


Abnormal, Unusual, Strange Behavior",,,Al Safiya Medical and Diagnostic Centre,"PSO Pump near UBL Bank, G-8 Markaz, Islamabad",Rs. 2000,"Monday
6:00pm - 8:00pm
Tuesday
6:00pm - 8:00pm
Wednesday
6:00pm - 8:00pm
Thursday

6:00pm - 8:00pm

Friday

6:00pm - 8:00pm

Saturday

1:00pm - 2:00pm

Sunday

- 8:00pm",,,,https://instacare.pk/doctors/islamabad/psychiatrist/assist-prof-dr-hafiz-sultan-muhammad
Dr. Amjad Saeed Mian,37 Year,Yes,General Surgeon,,"Hemorrhoids


Appendectomy


Diabetic Foot


Breast Biopsy


Fissure Fistula


Cesarean Section


Abdominal Surgery


Bariatric Surgery


Haemorrhoidectomy


Breast Cancer Surgery


Dilation And Curettage


Inguinal Hernia Repairs


Breast Cosmetic Surgery",,,Saleem Memorial Trust Hospital,"Opposite Green Forts II Housing Society, Mohlanwal Road, Lahore",Rs. 3000,"Monday
12:00pm - 3:30pm
Tuesday
12:00pm - 3:30pm
Wednesday
12:00pm - 3:30pm
Thursday

12:00pm - 3:30pm

Sunday

- 3:30pm

Monday
7:00pm - 8:00pm
Tuesday
7:00pm - 8:00pm
Wednesday
7:00pm - 8:00pm
Thursday

7:00pm - 8:00pm

Sunday

- 8:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/general-surgeon/dr-amjad-saeed-mian
Dr. Jawad Ahmed,15 Year,Yes,Pediatrician,"Dr. Jawad Ahmed  is a Pediatrician. He is having over 14 years of experience in the field of Pediatrician and practices at  Al-Majeed Children Clinic .  His field of interest includes Fragile x syndrome, Genetic defects, Immunization, Management of pediatric illness, Newborn illnesses, Nutrition assessment, Poor growth, Renal issues, Respiratory tract infections, Seizures problems, Short stature, Sleep problems, Faecal incontinenceor.","Poor Growth


Immunization


Renal Issues


Short Stature


Sleep Problems


Genetic Defects


Seizures Problems


Newborn Illnesses


Fragile X Syndrome


Nutrition Assessment


Faecal Incontinenceor


Respiratory Tract Infections


Management Of Pediatric Illness",,,,,,,,,,https://instacare.pk/doctors/dinga/pediatrician/dr-jawad-ahmed
Dr. Saira Lone,4 Year,Yes,Dentist,"BDS. Experience: Lones Dental Clinic. Dr. Saira Lone  is a Dentist and Dental Surgeon . She is having over 3 years of experience in the field of Dentistry and practices at  Lones Dental Clinic .  Her field of interest includes  Teeth Whitening, Braces, Ceramic Braces, Metal Braces, Dental Implants, Invisible Braces, Orthognathic Surgery, Artificial Teeth, Teeth Cleaning, Bone Grafting, Dentures, Veneers, Aesthetic Crown And Bridges, Bleaching, Disimpactions, Fillings, Gums Treatment, Implants, Jewel Teeth, Lingual Orthodontics, Orthodontic Treatment, Root Canal, Rotary Rct, Scaling, Sealants, Smile Design","Braces


Scaling


Veneers


Dentures


Sealants


Implants


Fillings


Bleaching


Root Canal


Rotary Rct


Jewel Teeth


Metal Braces


Smile Design


Bone Grafting


Disimpactions


Ceramic Braces


Teeth Cleaning


Dental Implants


 Teeth Whitening


Artificial Teeth


Invisible Braces


Orthognathic Surgery


Lingual Orthodontics


Aesthetic Crown And Bridges",,,,,,,,,,https://instacare.pk/doctors/faisalabad/dentist/dr-saira-lone
Dr. Javed Ul Hassan Chattha,41 Year,Yes,Eye Specialist,"Dr. Javed Ul Hassan Chattha  is a Eye Specialist and Eye Surgeon . He is having over 40 years of experience in the field of ophthalmology and practices at  Heart And Medical Centre .  His field of interest includes Dry Eye, Advance Refraction, Artificial Eye, Cataract Surgery With Phacoemulsification, Conjunctivitis, Contact Lens, Corneal Transplant, Diabetic Eye Care, Diabetic Eye Disease, Glaucoma, Lasik Surgery, Low Vision, Ocular Trauma, Orbit Oculoplasty, Pediatric Diseases Of Eye, Pediatric Optometry, Red Eye, Refractive Surgery(PRK And LASIK), Spectacles, Squint Surgery, Squit, Stye, Vitreo Retina.","Squit


Argon


Dry Eye


Spectacles


Low Vision


Eye Removal


Contact Lens


Femto Lasik


Lasik Surgery


Ocular Trauma


Artificial Eye


Conjunctivitis


Eyelid Surgery


Corneal Surgery


Diabetic Eye Care


Orbit Oculoplasty


Glaucoma Surgery


Advance Refraction


Eye Muscle Surgery


Pediatric Optometry


Vitro-Retinl Surgery


Cataract Eye Surgery


Squint Cosmetic Surgery


Refractive Surgery( PRK And LASIK)


Cataract Surgery With Phacoemulsification",,,Heart And Medical Centre,"Block A Zarar Shaheed Road Next To Gourmet Bakers, Guldasht Town, Lahore",Rs. 3000,"Monday
7:00pm - 10:00pm
Tuesday
7:00pm - 10:00pm
Wednesday
7:00pm - 10:00pm
Thursday

7:00pm - 10:00pm

Friday

7:00pm - 10:00pm

Saturday

7:00pm - 10:00pm

Sunday

- 10:00pm

Monday
12:00pm - 6:00pm
Tuesday
12:00pm - 6:00pm
Wednesday
12:00pm - 6:00pm
Thursday

12:00pm - 6:00pm

Friday

12:00pm - 6:00pm

Saturday

12:00pm - 6:00pm

Sunday

- 6:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/eye-specialist/dr-javed-ul-hassan-chattha
Brig. (R) Dr. Umar Fayyaz Ghani,28 Year,Yes,General Surgeon,"Brig. (R) Dr. Umar Fayyaz Ghani  is a General Surgeon and Laparoscopic Surgeon. He is having over 28 years of experience in the field of  General Surgery  and practices at  HM Diagnostics & Clinics .  His field of interest includes  Abdominal Surgery, Breast Surgery, Cholecystectomy, General Surgery, Hernia Surgery, Laparoscopic Surgery, Mastectomy, Thyroid Surgery, Varicose Vein Surgery .","Appendix


Mastectomy


Diabetic Foot


Breast Biopsy


Breast Surgery


Cholecystectomy


General Surgery


Thyroid Surgery


Abdominal Surgery


Lapparoscopic Hernia Surgery


Laparoscopic gallbladder surgery",,,HM Diagnostics & Clinics,"Basement # 13, 14, Crescent Arcade, Markaz Rd, G-8 Markaz, Islamabad",Rs. 2000,"Monday
4:00pm - 5:00pm
Tuesday
4:00pm - 5:00pm
Wednesday
4:00pm - 5:00pm
Thursday

4:00pm - 5:00pm

Friday

4:00pm - 5:00pm

Sunday

- 5:00pm",,,,https://instacare.pk/doctors/islamabad/general-surgeon/brig-r-dr-umar-fayyaz-ghani
Brig. Dr. Syed Wasim Kazmi,38 Year,Yes,Dentist,"2013 - 2016, Director Dental Services in Pak Army, GHQ 1985 - 2013, Maxillo Facial Surgeon in Pak Army, CMH, AFID. Dental Experts (DHA). Brig. Dr. Syed Wasim Kazmi  is a Dentist . He is having over 36 years of experience in the field of Dentistry and practices at  Dental Experts (DHA) .  His field of interest includes Composite Veneers, Dental Bridge, Dental Implants, Fixed & Removable Braces, Maxillofacial Surgery, Procelain Veneers, Root Canal Treatment, Teeth Wthitening","Braces


Veneers


Dental Bridge


Dental Implants


Teeth Whitening


Root Canal Treatment


Maxillofacial Surgery


porcelain and composite veneers",,,Dental Experts (DHA),"2nd Floor 64 Commercial Area, DHA Phase 5, Lahore",Rs. 2000,"Monday
12:00pm - 6:00pm
Tuesday
12:00pm - 6:00pm
Wednesday
12:00pm - 6:00pm
Thursday

12:00pm - 6:00pm

Friday

12:00pm - 6:00pm

Saturday

12:00pm - 6:00pm

Sunday

- 6:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/dentist/brig-dr-syed-wasim-kazmi
Dr. Khalid Mahmood,48 Year,Yes,Internal Medicine,"Dr. Khalid Mahmood  is a Internal medicine Specialist and Medical Specialist. H e is having over 47 years of experience in the field of  Internal medicine  and practices at  Reliance Hospital .  His field of interest includes  Corona-Virus Treatment, GASTRO INTESTINAL PROBLEMS, GI/ Liver Disorders, HEART VALVE DISORDERS, Hepatitis A Treatment, Hepatitis B Treatment, Hepatitis C Treatment, JOINTS AND RHEUMATOLOGICAL DISORDERS,  Migraine,  Asthma, Diabetes, Diarrhea, High Cholesterol, Hypertension, Joint Pain, Stroke, TB, Thyroid disease.","Biopsy


weaknes
 

Dialysis


joint pains


Gastroscopy


abdominal pain


 Oesophagoscopy


Diarrhea Treatment


Diabetes Management


shortness of breath


Corona-Virus Treatment


Hepatitis A Treatment


Hepatitis C Treatment


Hepatitis B Treatment


Constipation Treatment


General Health Checkup


Heart Attack Management


GASTRO INTESTINAL PROBLEMS


Increase frequency of urine


Cardiology Medicine (General)


Early Arthritis diagnosis and management",,,Reliance Hospital,"132 Civic Center- Phase 4 Near KFC, Bahria Town, Islamabad",Rs. 2000,"Monday
10:00am - 1:00pm
Tuesday
10:00am - 1:00pm
Wednesday
10:00am - 1:00pm
Thursday

10:00am - 1:00pm

Friday

10:00am - 1:00pm

Saturday

10:00am - 1:00pm

Sunday

- 1:00pm",,,,https://instacare.pk/doctors/islamabad/internal-medicine/dr-khalid-mahmood
Dr. Irfan Ahmad,35 Year,Yes,Urologist,,"Nephrectomy


Orchidopexy


 Hernia Repair


Hernia Surgery


Kidney Infections


Kidney Transplant


Hypospadias Repair


Overactive Bladder


Injury To The Urethra",,,Horizon Hospital,"Block-D-II, Johar Town, Lahore",Rs. 3000,"Monday
2:00pm - 6:00pm
Tuesday
2:00pm - 6:00pm
Wednesday
2:00pm - 6:00pm
Saturday

11:00am - 2:00pm

Sunday

- 6:00pm

Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
Sunday",,,,https://instacare.pk/doctors/lahore/urologist/dr-irfan-ahmad
Dr. Ishtiaq Ur Rehman,15 Year,Yes,Plastic Surgeon,"Dr. Ishtiaq Ur Rehman  is a  Plastic Surgeon, Cosmetic Surgeon and Reconstructive Surgeon. He is having over 13 years of experience in the field of  Plastic Surgery  and practices at  Noor General Hospital .  His field of interest includes Hair Transplantation, Keloid Treatment, Liposuction Without Anesthesia, Non Surgical Skin Tightening, Skin Care Products, Skin Rejuvenation, Skin/Hair & Nail Diseases.","Keloid Treatment


Skin Rejuvenation


Hair Transplantation


Skin Care Consultation


Non Surgical Procedures


Skin/Hair & Nail Diseases


Liposuction Without Anesthesia",,,,,,,,,,https://instacare.pk/doctors/islamabad/plastic-surgeon/dr-ishtiaq-ur-rehman
