Doctor ID,Doctor Name,Years of Experience,PMC Verified,Doctor Image,Type,About,Services,Education and Certification,Specialization,Languages,Experience,Clinic Name,Clinic Address,Clinic Fees,Clinic Schedule,Consultation,Consultation Fees,Consultation Schedule,Medical Center,Center Address,Center Fees,Center Schedule,Page Url
12331,Asst. Prof. Dr Sanam Bano,3 Year(s),Yes,https://www.shifaam.com/doctors/karachi/paediatric-neurologist/asst-prof-dr-sanam-bano-12331/uploads/profile-images/1659621039-doctor.jpeg,Paediatric Neurologist,"Dr. Sanam Bano (F.C.P.S Pediatrics neurology) is a certified pediatric neurologist. She completed her MBBS from Liaquat University of Medical and health science Jamshoro in 2007 and FCPS from Aga Khan University in 2014. She did her fellowship in Pediatric Neurology at Aga khan university Hospital, Karachi. She Joined LNH as a consultant pediatric Neurologist in 2022 and worked as an Assistant professor in the Child Development unit and child Neurology unit The unit serves children with special needs and provides support to their families. She is experienced in providing care for infants and children with all types of neurological and developmental disorders like autism and neurobehavioral disorders, epilepsy, functional impairments in cerebral palsy, CNS, infections, inflammatory conditions of the brain, movement disorders, evaluating and managing childhood headaches.","Neurological And Developmental Disorders
Autism And Neuro Behavioral Disorders
Epilepsy
Functional Impairments In Cerebral Palsy
Cns
Infections
Inflammatory Conditions Of The Brain
Movement Disorders
Evaluating And Managing Childhood Headaches","M.B.B.S. - Liaqaut Medical University of Health Sciences Jamshoro, Hyderabad
F.C.P.S. - College of Physicians and Surgeons Pakistan
F.C.P.S. - College of Physicians and Surgeons Pakistan","Paediatrician & Child Specialist
Neurological / Brain N Nerves
Paediatric Neurologist","Urdu
English","2020 - Present, Consultant Paediatric Neurologist, National Medical Center Karachi
2022 - Present, Assistant Professor Paediatric Neurology, Liaquat National Hospital",Shifaam Physical Clinic,"Main Shaheed-e-Millat Road, Karachi",Rs.2000,"Monday

                                            
02:00 PM - 04:00 PM

                                            
Friday

                                            
02:30 PM - 04:00 PM",Online Video Consultation,Rs.1500,"Monday

                                            
12:00 PM - 04:00 PM

                                        
Tuesday

                                            
09:00 AM - 11:00 PM

                                        
Wednesday

                                            
07:00 PM - 08:00 PM

                                        
Friday

                                            
02:00 PM - 04:00 PM

                                        
Saturday

                                            
09:00 AM - 05:00 PM

                                        
Sunday

                                            
08:00 PM - 09:00 PM",National Medical Center (NMC),"A-5/A, National Highway, Phase 1, DHA, Near Kala Pul, Korangi Road, Karachi",Rs.2000,"Tuesday

                                            
05:30 PM - 07:30 PM

                                            
Thursday

                                            
05:30 PM - 07:30 PM

                                            
Saturday

                                            
05:30 PM - 07:30 PM",https://www.shifaam.com/doctors/karachi/paediatric-neurologist/asst-prof-dr-sanam-bano-12331
12397,Tazeen Akmal Jameel,15 Year(s),No,https://www.shifaam.com/doctors/karachi/humanistic-integrative-counsellor/tazeen-akmal-jameel-12397/uploads/profile-images/female-doctor-avatar.jpeg,Humanistic Integrative Counsellor,"I am a highly emphatic therapy professional with a background in education. I have successfully counseled people of all ages (15yrs+) and economic levels for a range of issues including childhood trauma, relationship problems, anxiety, depression, and lack of confidence.","Psychologists/counselors 
Psychodynamic Therapy
Counseling","Advance Diploma in Humanistic Integrative Counselling - CPPD Karachi, Pakistan
Diploma in Humanistic Integrative Counselling - CPPD Karachi, Pakistan
Humanistic Integrative Counselling - CPPD Karachi, Pakistan
Specific Learning Difficulties - R.E.A. .Dyslexics, Pakistan","Humanistic Integrative Counsellor
Therapist","Urdu
Punjabi

English","2019 - Present, Independent Therapist, Karachi, Pakistan
2018 - 2019, Kindergarten Teacher, Bc Muslim School, Vancouver, Canada
2007 - 2016, Montessori Directress, Montessori Children’s Villa (pakistan Montessori Association School)
2012 - 2017, Part-time Learning Difficulties Support Teacher, Assessing Educational Attainment And Coaching Students ",,,,,Online Video Consultation,Rs.2000,"Wednesday

                                            
12:00 PM - 01:00 PM",,,,,https://www.shifaam.com/doctors/karachi/humanistic-integrative-counsellor/tazeen-akmal-jameel-12397
12392,Kinza Sarfaraz,2 Year(s),No,https://www.shifaam.com/doctors/karachi/psychotherapist/kinza-sarfaraz-12392/uploads/profile-images/1664199448-doctor.jpeg,Mental Health Professional,"I am a Humanistic Integrative Counselor working on dealing with trauma, grief and loss. Been an educationist since over 13 years.","Grief And Bereavement Counseling
Group Psychotherapy
Individual Psychotherapy
Marital Psychotherapy
Personality/ Iq
Assessment Psycho-diagnosis
Psychological Evaluation
Rational Emotive Psychotherapy",Advance diploma on Counselling - Counselling Therapist,"Mental Health Professional
Humanistic Integrative Counselor","Urdu
English","2020 - Present, Humanistic Integrative Counsellor, Cppd Pakistan",,,,,Online Video Consultation,Rs.1500,"Monday

                                            
04:30 PM - 06:30 PM

                                        
Thursday

                                            
04:00 PM - 06:30 PM

                                        
Friday

                                            
07:00 PM - 08:00 PM",,,,,https://www.shifaam.com/doctors/karachi/psychotherapist/kinza-sarfaraz-12392
12390,Tazeen Shamsie,18 Year(s),No,https://www.shifaam.com/doctors/karachi/psychotherapist/tazeen-shamsie-12390/uploads/profile-images/1664270494-doctor.jpeg,Mental Health Professional,"Tazeen Shamsie is a Humanistic Integrative Counsellor/Therapist. She has been offering counseling services Online and in person, for nearly 2 years.","Counselling
Talk Therapy
Play Therapy
Remedial Therapy",,"Humanistic Integrative Counsellor
Mental Health Professional","Urdu
English","2005 - Present, Remedial Therapist, Private
2020 - Present, Humanistic Integrative Counsellor/Therapist, Private Practitioner",,,,,Online Video Consultation,Rs.2000,"Tuesday

                                            
11:00 AM - 01:00 PM",,,,,https://www.shifaam.com/doctors/karachi/psychotherapist/tazeen-shamsie-12390
12393,Iffat Ibrahim,5 Year(s),No,https://www.shifaam.com/doctors/karachi/psychotherapist/iffat-ibrahim-12393/uploads/profile-images/female-doctor-avatar.jpeg,Mental Health Professional,"Humanistic Integrative Mental Health Counsellor. Work across a range of mental health topics including trauma, addiction, anxiety, depression, suicidal ideation, etc. Have a humanistic philosophy in my work. Focus on relational work with clients.","Trauma
Addictions
Anxiety
Depression
Suicidal Ideation","BS - University of Toronto - Rotman School of Management
 Registered Yoga Teacher - YOGA ALLIANCE - Bali, Indonesia
CPPD Certificate - Karachi, Pakistan
CPPD Advanced Diploma - Karachi, Pakistan","Humanstic Integrative Mental Health Counsellor
Mental Health Professional","Urdu
English","2021 - Present, Trainee Mental Health Therapist, Cppd Uk (pakistan Chapter)
2018 - 2020, Yoga Teacher, Studio X - Karachi
2018 - 2018, Consultant, Dynamic Communication - Karachi",,,,,Online Video Consultation,Rs.2000,"Tuesday

                                            
01:00 PM - 02:00 PM",,,,,https://www.shifaam.com/doctors/karachi/psychotherapist/iffat-ibrahim-12393
11196,Dr. Raman Kumar,N/A,Yes,https://www.shifaam.com/doctors/karachi/paediatric-neurologist/dr-raman-kumar-11196/uploads/profile-images/1617622243-doctor.jpeg,Paediatric Neurologist,"Dr. Raman Kumar (F.C.P.S Pediatrics). He completed his MBBS from Baqai Medical University in 2007 and FCPS from Aga Khan University in 2015. He did his fellowship of Pediatric Neurology from Aga khan university Hospital ,Karachi. He Joined LNH as a consultant pediatric Neurologist in 2018 and established paeds Development unit and child Neurology unit .The unit serves children with special needs and provides support to their families. He is experienced in providing care for infants and children with all types of neurological and developmental disorders like autism and neuro behavioral disorders, epilepsy, functional impairments in cerebral palsy, CNS, infections, inflammatory conditions of the brain, movement disorders, evaluating and managing childhood headaches.",Pediatric Neurology,"M.B.B.S - BAQAI UNIVERSITY KARACHI
F.C.P.S - COLL.OF PHYSICIANS & SURGEONS PAKISTAN
Paeds Neurology Fellowship - Aga Khan University","Paediatrician & Child Specialist
Neurological / Brain N Nerves
Paediatric Neurologist","English
Urdu
Pashto
Others",,Shifaam Physical Clinic,"Main Shaheed-e-Millat Road, Karachi",Rs.2000,"Saturday

                                            
03:00 PM - 09:00 PM",Online Video Consultation,Rs.1500,"Sunday

                                            
10:00 AM - 01:00 PM",,,,,https://www.shifaam.com/doctors/karachi/paediatric-neurologist/dr-raman-kumar-11196
11704,Dr. Naveen Manzoor,7 Year(s),Yes,https://www.shifaam.com/doctors/karachi/internal-medicine/dr-naveen-manzoor-11704/uploads/profile-images/1664379075-doctor.jpeg,Internal Medicine,"Dr. Naveen. did her MBBS from Dow Medical College in 2016 and recently completed FCPS (II) training in Internal Medicine from Civil Hospital, Karachi. Dr. Naveen is a hardworking, ambitious doctor who carefully pays attention to the minor details of patients' complaints and constantly tries to improve herself by trying to acquire more knowledge.","All Issues Related To Cardiovascular System
Gastroenterology
Neurology And Respiratory Disorders.","M.B.B.S. - Dow University of Health Sciences (DUHS)
FCPS (Part 1) - Civil Hospital Karachi
FCPS (Part 2) - Civil Hospital, Karachi","Internal Medicine
General Physician","Urdu
English","2016 - 2017, House Job, Civil Hospital, Karachi
2018 - 2022, F.C.P.S. II (Medicine), Civil Hospital, Karachi",Shifaam Physical Clinic,"Main Shaheed-e-Millat Road, Karachi",Rs.1000,"Tuesday

                                            
01:00 PM - 03:00 PM

                                            
Wednesday

                                            
01:00 PM - 03:00 PM",Online Video Consultation,Rs.1000,"Monday

                                            
03:30 PM - 10:00 PM

                                        
Tuesday

                                            
06:00 PM - 10:00 PM

                                        
Wednesday

                                            
03:00 PM - 10:00 PM

                                        
Thursday

                                            
06:00 PM - 10:00 PM

                                        
Friday

                                            
04:00 PM - 10:00 PM

                                        
Saturday

                                            
06:00 PM - 10:00 PM

                                        
Sunday

                                            
06:00 PM - 10:00 PM",,,,,https://www.shifaam.com/doctors/karachi/internal-medicine/dr-naveen-manzoor-11704
12395,Moomal Ajaz,5 Year(s),No,https://www.shifaam.com/doctors/karachi/psychotherapist/moomal-ajaz-12395/uploads/profile-images/1664024733-doctor.jpeg,Mental Health Professional,"I am a Psychotherapist, Wellness Coach, Motivational Speaker, & Certified yoga and meditation instructor from Yogi Wajahat's institute and yoga fit Canada.","Mental Health Practitioner
Psychotherapist
Wellness Coach
Motivational Speaker","Masters in Health and Physical Education - University of Karachi
Advance Diploma in Humanistic Integrative Counselling - C.P.P.D.","Psychotherapist
Mental Health Professional","Urdu
Sindhi
English","2018 - Present, Mental Health Practitioner, Daraz.pk // Isra University & Trg (awareness Sessions)",,,,,Online Video Consultation,Rs.4500,"Monday

                                            
11:00 AM - 01:00 PM",,,,,https://www.shifaam.com/doctors/karachi/psychotherapist/moomal-ajaz-12395
11710,Sidra Iqbal,10 Year(s),No,https://www.shifaam.com/doctors/karachi/dietitian-nutritionist/sidra-iqbal-11710/uploads/profile-images/1663593698-doctor.jpeg,Dietitian/Nutritionist,"Sidra Iqbal is one of the top certified Dietitians in Karachi, having a degree of B.S. (Nutrition and Dietetics). Currently, She is practicing at Shifaam Physical Clinic. Sidra Iqbal has advanced medical expertise in her Profession.","Consultant Dietitian
Nutrition Guidance
Renal Disease
Obesity
Weight Management
Liver Diseases","B.S. (Nutrition and Dietetics) - University of Karachi
W.H.O. Growth Chart Training - Dietitions of Canada
Nuts About Nutrition - B.D.A. (The Association of UK Dietitians)",Dietitian/nutritionist,"Urdu
English","2013 - 2019, Dietitian, Liaquat National Hospital, Karachi",Shifaam Physical Clinic,"Main Shaheed-e-Millat Road, Karachi",Rs.1000,"Monday

                                            
05:00 PM - 07:00 PM",,,,,,,,https://www.shifaam.com/doctors/karachi/dietitian-nutritionist/sidra-iqbal-11710
12008,Dr Syed Jibran Ashraf,8 Year(s),Yes,https://www.shifaam.com/doctors/karachi/interventional-cardiologist/dr-syed-jibran-ashraf-12008/uploads/profile-images/1641218690-doctor.jpeg,Interventional Cardiologist,"Dr Syed Jibran Ashraf is a well-experienced Consultant Cardiologist. He has studied MBBS from Dow University Health Sciences, Karachi. 
He has completed FCPS (Cardiology) from the College of Physicians and Surgeons Pakistan","General Cardiology
Noninvasive
Interventional Cardiology
Angiography/angioplasty/ptmc
Stroke
Angioplasty
Coronary Angioplasty
Atrial Septal Defect
Percutaneous Coronary Intervention
Stenting Holter Monitoring Ambulatory
Stress Echocardiography
Trans-esophageal Echocardiography
Trans-thoracic Echocardiography","M,B,B,S - Sindh Medical College , Karachi (DUHS) 
F,C,P,S - College Of Physicians & Surgeons of Pakistan ( CPSP )",Interventional Cardiologist,"Urdu
English","2014 - Present, Interventional Cardiologist, National Institute Of Cardiovascular Diseases ",Shifaam Physical Clinic,"Main Shaheed-e-Millat Road, Karachi",Rs.1500,"Tuesday

                                            
02:00 PM - 04:00 PM",Online Video Consultation,Rs.1500,"Monday

                                            
03:00 PM - 11:00 PM

                                        
Tuesday

                                            
03:00 PM - 08:00 PM

                                        
Wednesday

                                            
03:00 PM - 09:00 PM

                                        
Thursday

                                            
03:00 PM - 06:00 PM

                                        
Friday

                                            
03:00 PM - 05:00 PM

                                        
Saturday

                                            
03:00 PM - 11:00 PM

                                        
Sunday

                                            
03:00 PM - 05:00 PM",Zubaida Medical Centre,"Ghazi Salahuddin Road,C.P. Berar Society، Near Dhoraji Colony، Karachi,",Rs.800,"Tuesday

                                            
04:00 PM - 06:00 PM",https://www.shifaam.com/doctors/karachi/interventional-cardiologist/dr-syed-jibran-ashraf-12008
